time,nkill
2007-11,1166
2007-12,695
2008-1,863
2008-2,883
2008-3,680
2008-4,671
2008-5,859
2008-6,706
2008-7,770
2008-8,806
2008-9,409
2008-10,613
2008-11,682
2008-12,853
2009-1,850
2009-2,536
2009-3,561
2009-4,778
2009-5,693
2009-6,866
2009-7,1142
2009-8,980
2009-9,548
2009-10,828
2009-11,477
2009-12,718
2010-1,413
2010-2,721
2010-3,578
2010-4,607
2010-5,816
2010-6,496
2010-7,943
2010-8,719
2010-9,637
2010-10,551
2010-11,541
2010-12,606
2011-1,690
2011-2,475
2011-3,700
2011-4,589
2011-5,752
2011-6,744
2011-7,625
2011-8,652
2011-9,649
2011-10,592
2011-11,721
2011-12,645
2012-1,1695
2012-2,1023
2012-3,1366
2012-4,1133
2012-5,1302
2012-6,1527
2012-7,1336
2012-8,1384
2012-9,1124
2012-10,1188
2012-11,1028
2012-12,778
2013-1,1425
2013-2,1240
2013-3,1334
2013-4,1393
2013-5,2090
2013-6,1793
2013-7,2128
2013-8,2126
2013-9,2285
2013-10,1876
2013-11,1605
2013-12,2010
2014-1,2167
2014-2,2618
2014-3,2844
2014-4,3159
2014-5,4245
2014-6,6290
2014-7,4451
2014-8,4137
2014-9,3072
2014-10,3169
2014-11,2967
2014-12,3604
2015-1,3312
2015-2,2929
2015-3,2860
2015-4,3557
2015-5,3418
2015-6,3731
2015-7,3849
2015-8,3137
2015-9,3222
2015-10,2682
2015-11,2222
2015-12,2325
2016-1,2781
2016-2,3077
2016-3,2444
2016-4,2896
2016-5,2964
2016-6,3243
2016-7,2858
2016-8,2632
2016-9,2267
2016-10,3600
2016-11,2393
2016-12,2695
2017-1,2235
2017-2,2014
2017-3,2280
2017-4,2116
2017-5,2908
2017-6,2491
2017-7,2149
2017-8,1987
2017-9,1673
2017-10,2541
2017-11,1987
2017-12,1300
2018-1,1527
2018-2,1164
2018-3,1441
2018-4,1868
2018-5,2451
2018-6,2100
2018-7,2196
2018-8,1878
2018-9,1662
2018-10,1907
2018-11,1929
2018-12,2033
